Date	Price	Open	High	Low
"Feb 22, 2019"	"1,328.16"	"1,325.96"	"1,333.18"	"1,321.62"
"Feb 21, 2019"	"1,325.93"	"1,340.72"	"1,341.58"	"1,321.28"
"Feb 20, 2019"	"1,340.70"	"1,339.67"	"1,346.79"	"1,336.94"
"Feb 19, 2019"	"1,339.63"	"1,326.51"	"1,341.93"	"1,322.95"
"Feb 18, 2019"	"1,326.52"	"1,321.33"	"1,327.69"	"1,320.97"
"Feb 17, 2019"	"1,321.20"	"1,321.40"	"1,321.80"	"1,320.76"
"Feb 15, 2019"	"1,321.41"	"1,312.01"	"1,322.59"	"1,311.50"
"Feb 14, 2019"	"1,312.00"	"1,307.74"	"1,314.41"	"1,302.57"
"Feb 13, 2019"	"1,307.74"	"1,310.26"	"1,318.24"	"1,305.12"
"Feb 12, 2019"	"1,310.35"	"1,307.76"	"1,314.81"	"1,306.58"
"Feb 11, 2019"	"1,307.84"	"1,313.76"	"1,314.93"	"1,303.79"
"Feb 10, 2019"	"1,313.76"	"1,314.33"	"1,314.33"	"1,313.45"
"Feb 08, 2019"	"1,314.26"	"1,310.53"	"1,315.69"	"1,307.85"
"Feb 07, 2019"	"1,310.51"	"1,306.70"	"1,312.00"	"1,302.88"
"Feb 06, 2019"	"1,306.69"	"1,315.06"	"1,315.88"	"1,305.76"
"Feb 05, 2019"	"1,315.06"	"1,311.78"	"1,316.93"	"1,310.80"
"Feb 04, 2019"	"1,311.83"	"1,317.18"	"1,317.59"	"1,308.72"
"Feb 03, 2019"	"1,317.25"	"1,318.09"	"1,319.11"	"1,316.62"
"Feb 01, 2019"	"1,317.65"	"1,321.12"	"1,323.58"	"1,316.19"
"Jan 31, 2019"	"1,321.13"	"1,319.32"	"1,326.32"	"1,317.53"
"Jan 30, 2019"	"1,319.32"	"1,310.79"	"1,323.43"	"1,309.10"
"Jan 29, 2019"	"1,310.78"	"1,304.01"	"1,312.03"	"1,302.79"
"Jan 28, 2019"	"1,303.95"	"1,300.17"	"1,304.49"	"1,297.84"
