Date,Price,Open,High,Low
"Feb 22, 2019",1328.16,1325.96,1333.18,1321.62
"Feb 21, 2019",1325.93,1340.72,1341.58,1321.28
"Feb 20, 2019",1340.70,1339.67,1346.79,1336.94
"Feb 19, 2019",1339.63,1326.51,1341.93,1322.95
"Feb 18, 2019",1326.52,1321.33,1327.69,1320.97
"Feb 17, 2019",1321.20,1321.40,1321.80,1320.76
"Feb 15, 2019",1321.41,1312.01,1322.59,1311.50
"Feb 14, 2019",1312.00,1307.74,1314.41,1302.57
"Feb 13, 2019",1307.74,1310.26,1318.24,1305.12
"Feb 12, 2019",1310.35,1307.76,1314.81,1306.58
"Feb 11, 2019",1307.84,1313.76,1314.93,1303.79
"Feb 10, 2019",1313.76,1314.33,1314.33,1313.45
"Feb 08, 2019",1314.26,1310.53,1315.69,1307.85
"Feb 07, 2019",1310.51,1306.70,1312.00,1302.88
"Feb 06, 2019",1306.69,1315.06,1315.88,1305.76
"Feb 05, 2019",1315.06,1311.78,1316.93,1310.80
"Feb 04, 2019",1311.83,1317.18,1317.59,1308.72
"Feb 03, 2019",1317.25,1318.09,1319.11,1316.62
"Feb 01, 2019",1317.65,1321.12,1323.58,1316.19
"Jan 31, 2019",1321.13,1319.32,1326.32,1317.53
"Jan 30, 2019",1319.32,1310.79,1323.43,1309.10
"Jan 29, 2019",1310.78,1304.01,1312.03,1302.79
"Jan 28, 2019",1303.95,1300.17,1304.49,1297.84
"Jan 27, 2019",1300.14,1301.41,1302.88,1300.06
"Jan 25, 2019",1303.37,1281.42,1303.96,1280.03
"Jan 24, 2019",1281.48,1283.84,1284.86,1276.90
"Jan 23, 2019",1283.84,1284.66,1286.52,1278.74
"Jan 22, 2019",1284.66,1279.78,1285.55,1277.52
"Jan 21, 2019",1279.78,1282.67,1283.61,1276.88
"Jan 20, 2019",1282.68,1281.65,1283.36,1281.65
"Jan 18, 2019",1281.63,1292.42,1292.52,1280.72
"Jan 17, 2019",1292.38,1293.04,1295.42,1288.85
"Jan 16, 2019",1293.05,1289.68,1295.03,1287.99
